district,school_name,poa_school_net,school_website,school_type_1,school_type_2,student_gender,religion,school_size,medium_of_instruction,through_train_sec_school,feeder_sec_school,nominated_sec_school,school_bus,nanny_van,fac_no_of_classroom,fac_no_of_school_hall,fac_no_of_playground,fac_no_of_library,fac_special_rooms,fac_support_for_specialedu,previous_year_tsi_no_of_approved_teaching_posts,previous_year_tsi_total_no_of_teachers,previous_year_tsi_percent_of_received_teacher_training,previous_year_tsi_percent_of_bacherlor,previous_year_tsi_percent_of_master_doctorate_or_above,previous_year_tsi_percent_of_special_edu_training,previous_year_tsi_percent_of_exp_0_4,previous_year_tsi_percent_of_exp_5_9,previous_year_tsi_percent_of_exp_10_or_above,previous_year_no_of_class_p1,previous_year_no_of_class_p2,previous_year_no_of_class_p3,previous_year_no_of_class_p4,previous_year_no_of_class_p5,previous_year_no_of_class_p6,previous_year_no_of_class_total,current_year_no_of_class_p1,current_year_no_of_class_p2,current_year_no_of_class_p3,current_year_no_of_class_p4,current_year_no_of_class_p5,current_year_no_of_class_p6,current_year_no_of_class_total,no_of_test_per_year_P1,no_of_exam_per_year_P1,replace_test_exam_P1,no_of_test_per_year_P2-P6,no_of_exam_P2-P6,upload_school_assessment_policy_to_school_web,upload_school_assignment_policy_to_school_web,school_starts_at,school_starts_at_AMPM,school_ends_at,school_ends_at_AMPM,school_major_concerns
Eastern,Meng Tak Catholic School,16,http://mengtak.edu.hk,Aided,Whole Day,Co-ed,Catholicism,5143,Chinese,-,-,-,Yes,-,24,1,2,1,"Computer Room, Art and Craft Room, STEM Room, Language Room, Remedial Classrooms, Music Room, Religious Activity Room, Student Counselling Room, Student Activity Room, Student Learning Room, etc.",Ramp.,46,47,100,98,34,67,15,19,66,4,4,4,4,4,4,24,3,4,4,4,4,4,23,1,1,Yes,1,2,Yes,Yes,8:30,AM,3:45,PM,"1. Optimize value education, cultivate students' positive values and demonstrate the typical traits of Meng Tak students.<br>2. Enhance students' learning abilities and integrated literacy to provide room for their all-round development."
Eastern,Pui Kiu Primary School,16,http://www.pkps.edu.hk,Aided,Whole Day,Co-ed,Not Applicable,4515,Chinese,-,-,-,Yes,-,30,1,3,1,11 special rooms (●music rooms ●group activity rooms ●activity room<br>● art room ● general studies room ●STEAM room ●computer room<br>● English room),Accessible lift and Accessible toilet.,55,57,100,98,43,74,5,22,73,5,5,5,5,5,5,30,5,5,5,5,5,5,30,0,2,Yes,0,2,Yes,Yes,8:15,AM,3:05,PM,"1. Students can continuously enhance their language skills in the new curriculum.<br>2. Students can demonstrate curiosity and a desire for knowledge in creative technology.<br>3. Students can recognize and identify with the Chinese virtue of ""perseverance"" and practice it.<br>4. Students can understand, observe, and perform proper etiquette."
Eastern,S.K.H. Chai Wan St. Michael's Primary School,16,http://www.skhcwsms.edu.hk,Aided,Whole Day,Co-ed,Protestantism / Christianity,4700,Chinese(incl.: Putonghua),-,-,-,Yes,-,24,1,4,1,"Music Room, Computer Room, Sick Room, Campus TV Station, Student Activity Room, English Wonderland, STEAM Lab, Visual Art Room, Language Room, Canteen, etc.",Accessible lift and Accessible toilet.,49,50,100,100,35,73,14,29,57,4,4,4,4,4,4,24,4,4,4,4,4,4,24,0,2,Yes,0,3,Yes,Yes,7:50,AM,3:05,PM,"Educational Trio: Teachers, parents and students. Parents and teachers work together to create an environment for students that is conducive to learning."
Eastern,Shau Kei Wan Government Primary School,16,https://www.skwgps.edu.hk,Gov't,Whole Day,Co-ed,Not Applicable,2200,Chinese,-,-,"Shau Kei Wan Government Secondary School, <br>Clementi Secondary School",Yes,-,24,1,1,1,"Visual Art Room, Music Room, Computer Room, Activity Room, School Campus TV, Student Counseling Room, Study Room, Learning Support Room, Multi-purpose Room, STEAM Space, AI Fitness, Chill and Relaxing Zone, Mindful Café.",Accessible lift and Accessible toilet.,32,33,100,97,39,90,9,12,79,2,2,2,3,3,4,16,1,2,2,2,3,3,13,0,1,Yes,2,2,Yes,Yes,8:15,AM,3:15,PM,(2024/25 to 2026/27)<br>1.  Foster students' interest in reading and improve their reading skills.<br>2.  Encourage students to enhance their physical and mental health in order to lead a healthy lifestyle.
Eastern,Shaukiwan Tsung Tsin School,16,http://www.skwtts.edu.hk,Aided,Whole Day,Co-ed,Protestantism / Christianity,5800,Chinese(incl.: Putonghua),-,-,-,Yes,-,24,1,2,1,"Campus TV Room, STEM Room, English Activity Room, Music Room, Computer Room, Visual Arts Room, General Studies Room, Library and Multi-purpose Activity Room",Accessible lift and Accessible toilet.,46,52,100,100,43,47,29,25,46,4,4,4,4,4,4,24,4,4,4,4,4,4,24,0,2,Yes,0,3,Yes,Yes,8:10,AM,3:00,PM,1. To develop teaching with love & care.  2. To develop school as a learning community.  3. To develop potential of our students.
Eastern,The H.K.C.W.C. Hioe Tjo Yoeng Primary School,16,http://www.hkcwc-htyps.edu.hk,Aided,Whole Day,Co-ed,Not Applicable,5000,Chinese,-,-,-,Yes,-,30,2,3,1,"A computer room, 2 multi-learning rooms, a student activity room, an English room, 2 remedial teaching rooms and 2 music rooms.","Ramp, Accessible lift and Accessible toilet.",57,57,100,100,40,64,5,11,84,5,5,5,5,5,5,30,5,5,5,5,5,5,30,0,3,Yes,0,3,Yes,Yes,8:00,AM,3:00,PM,"Our school aims at providing quality education with an emphasis on 'holistic education'. We strive to provide a rich and enjoyable school life that enhances the moral, intellectual, physical, social and aesthetics development of every pupil."
Eastern,The Salvation Army Ann Wyllie Memorial School,16,http://www.annwyllie.edu.hk,Aided,Whole Day,Co-ed,Protestantism / Christianity,5000,Chinese,-,-,-,Yes,-,24,1,3,1,"Library, Computer Rooms, Visual Art Room, Music Room, Dancing Room, Language Learning Room, STEM Room, Student Activity Room, Students' Counselling Room, Toy's Room, Intangible cultural heritage Room, Teaching Resources Room and Conference Room.",Ramp and Accessible lift.,36,41,100,100,20,50,23,20,57,2,2,2,4,4,4,18,1,2,2,3,4,4,16,0,1,Yes,0,3,Yes,Yes,8:15,AM,3:30,PM,"1. Optimize self-study skills, Enhance the effectiveness of teaching and learning; <br>2. Implement Value Education, Develop a caring campus."
Eastern,HKUGA Primary School,/,https://www.hkugaps.edu.hk,DSS,Whole Day,Co-ed,Not Applicable,4562,Chinese(incl.: Putonghua) and English,HKUGA College,-,-,Yes,-,24,2,2,1,"Multi-Media Language Centre, Computer Assisted Learning Room, General Studies Room, Visual Art Room, Music Room, Dance Room, Student Guidance Room, etc.","Accessible lift, Accessible toilet and Tactile guide path plan.",-,59,100,100,61,34,13,13,74,4,4,4,4,4,4,24,4,4,4,4,4,4,24,0,0,Yes,0,2,Yes,Yes,7:50,AM,3:15,PM,"""Start with Me, Star with Me"" is our 2024/25 school theme. Please refer to our school website."
Eastern,Kiangsu & Chekiang Primary School,/,https://www.kcs.edu.hk,Private,Whole Day,Co-ed,Not Applicable,8500,Chinese(incl.: Putonghua) and English,-,-,-,Yes,-,33,1,3,1,"I.T., Visual Arts, Dance Room, Music Room, School Clinic, PTA Resources Centre.",Accessible lift and Accessible toilet.,-,56,98,98,27,0,31,20,49,5,5,5,5,6,5,31,5,5,5,5,5,6,31,3,3,Yes,3,3,No,No,7:50,AM,3:30,PM,The individual's personal and academic all-round development.
Eastern,The Salvation Army Centaline Charity Fund School,/,http://www.saccf.edu.hk,Aided,Whole Day,Co-ed,Protestantism / Christianity,4000,Chinese(incl.: Putonghua),-,-,-,-,-,24,1,1,1,"English Activity Room, STEM Room, Innovation Rooms, Art Room, Music Room, Dancing Room, Counselling Room, Multi-purpose Activity Room.",Accessible lift.,17,21,86,100,24,76,29,9,62,0,0,1,0,2,3,6,0,0,0,0,0,2,2,0,0,Yes,0,3,Yes,Yes,8:20,AM,3:30,PM,1. Optimize learning and teaching strategies to enhance student learning effectiveness.<br>2. Enhance students' interest in Chinese culture and their sense of national identity. Encourage the development of students' proper values and attitudes. 
Eastern,Hon Wah College (Primary Section),/,http://www.honwah.edu.hk,DSS,Whole Day,Co-ed,Not Applicable,5710,Chinese(incl.: Putonghua) and English,Hon Wah College,-,-,Yes,-,18,1,3,1,"STEAM Station, Toy Library, Visual Arts Room, Music Room, Campus TV Studio, Fun Learning Room and Dance Room.",Accessible lift and Tactile guide path plan.,-,38,89,100,37,58,34,26,40,3,3,3,3,3,3,18,3,3,3,3,3,3,18,0,0,Yes,0,2,Yes,Yes,8:00,AM,3:30,PM,1. To deepen the positive culture at school and further enhance students' strengths so as to raise their sense of achievement and satisfaction.<br>2. To promote cross-curricular reading and to raise students' learning efficiency.<br>3. To develop STEAM education and strengthen students’ creativity and inquiry skills.<br>4. To assemble for the 80th School Anniversary and be patriotic and love the school.
Islands,Ching Chung Hau Po Woon Primary School,98,http://www.cchpwps.edu.hk/,Aided,Whole Day,Co-ed,Taoism,9000,Chinese & English,-,-,-,Yes,-,30,1,2,1,"Ching Chung Aerospace Science and Technology Discovery Centre, STEM Room, Science Laboratory (Chinese Medicine Information Corner), 2 English Room, Music Room, Art Room, Dance Room, Library, Multi-Purpose Activity Room, Counseling Room, Gym Room and Mathematics Room.","Ramp, Accessible lift and Accessible toilet.",56,61,100,100,40,69,38,21,41,5,5,5,5,5,5,30,5,5,5,5,5,5,30,1,3,No,1,3,Yes,Yes,8:30,AM,3:35,PM,"1. Promote values education and cultivate in students' a healthy, positive and empowering outlook on life.<br>2. Enhance assessment literacy to promote the effectiveness of learning and teaching."
Islands,Bui O Public School,98,http://www.buiosch.edu.hk,Aided,Whole Day,Co-ed,Not Applicable,3150,Chinese & English,-,-,-,-,-,6,0,1,1,"9: GlassHut Activity Base, Fitness Zone, STEAM Lab, Computer Room, Chinese Room, English Room, Maths Room, Guidance Room, Group-tutorial Room","Ramp, Accessible lift, Accessible toilet and Visual fire alarm system.",16,21,85,100,55,90,60,20,20,1,1,1,1,1,1,6,1,1,1,1,1,1,6,0,2,Yes,0,3,Yes,Yes,8:20,AM,3:15,PM,"1. Uplifting learning effectiveness by optimizing our L&T and enhancing positive learners.<br>2. Make good use of technology to enrich our curriculum and promoting innovation.<br>3. Build up a positive school environment, equip students with core attitudes and values for aiming at excellence."
Islands,Tung Chung Catholic School,98,http://www.tccs.edu.hk,Aided,Whole Day,Co-ed,Catholicism,12000,Chinese,Tung Chung Catholic School,-,-,Yes,-,30,2,6,2,"Prayer Room, Music Rooms, Art Room, English Learning Centre, I.S. Room, Computer Room, Multimedia Learning Centre, General Studies Room, Student Guidance Office and Meeting Room.","Ramp, Accessible lift, Accessible toilet and Tactile guide path plan.",52,59,90,100,29,65,34,25,41,5,3,4,5,5,5,27,3,5,3,4,5,5,25,1,1,Yes,2,2,No,No,8:05,AM,3:30,PM,2022-2025 Schools' Major Concerns: <br>1. To enhance the effectiveness of teaching and learning: <br>     Objective 1: To incorporate the core values of Catholic Education in the curriculum;<br>     Objective 2: To promote self-directed learning.<br>2. To nurture TCCS Students.
Islands,Holy Family School,99,http://www.holyfamily.edu.hk,Aided,Whole Day,Co-ed,Catholicism,2000,Chinese(incl.: Putonghua) and English,-,-,-,-,-,6,1,2,1,"STREAM Room, multi-function room, counselling room, and student activity centre.","Ramp, Accessible lift, Accessible toilet and Tactile guide path plan.",16,21,81,95,43,62,14,10,76,1,1,1,1,1,1,6,1,1,1,1,1,1,6,0,0,Yes,0,2,No,Yes,8:10,AM,3:20,PM,"1. To let students step out of the classroom, unleash their talents and enhance their learning effectiveness.<br>2. Put the spirit of HFS (H:Helpful, F:Faithful, S:Studious) into practice and become an outstanding HFSese."
Islands,Northern Lamma School,96,http://www.nls.edu.hk,Aided,Whole Day,Co-ed,Not Applicable,2500,Chinese,-,-,-,-,-,6,1,2,1,1 Computer Room.<br>1 Music Room.<br>1 Visual Arts Room.<br>1 Library.,Ramp and Accessible toilet.,15,18,94,100,28,33,22,11,67,1,1,1,1,1,1,6,1,1,1,1,1,1,6,1,1,Yes,2,2,Yes,Yes,8:10,AM,4:00,PM,Nature is our manuscript. Caring is our pen. Let's sketch for the children a picture of happy childhood.
Islands,Cheung Chau Sacred Heart School,97,https://www.ccshs.edu.hk,Aided,Whole Day,Co-ed,Catholicism,2000,Chinese(incl.: Putonghua) and English,-,-,-,-,-,12,1,2,1,"STEAM room, Music room, English room, Tutorial room and Counselling room.",,24,27,92,100,40,65,20,16,64,1,2,2,2,2,2,11,1,1,2,2,2,2,10,0,1,Yes,0,2,Yes,Yes,8:45,AM,3:00,PM,"1. Adhere to the core values of Catholic education, build a positive campus, and cultivate students to become good citizens.  <br>2. Optimize curriculum and learning and teaching strategies to effectively take care of students’ learning diversity and enhance students’ self-directed learning."
Islands,Kwok Man School,97,http://www.cckms.edu.hk,Aided,Whole Day,Co-ed,Not Applicable,2500,Chinese,-,-,-,-,-,17,1,2,1,"8 Rooms (English Room, Activities Room, Computer Room, Music Room, Teaching and Learning Resources Room, Visual Art Room, E-library and Stem Room).",Accessible toilet.,26,30,100,100,27,56,38,28,34,2,2,2,2,2,2,12,2,2,2,2,2,2,12,0,3,Yes,0,3,Yes,Yes,8:30,AM,3:10,PM,"The students' Bi-literacy and Tri-lingualism will be consolidated; The students' positive value and analytical abilities will be fostered; An atmosphere optimal for the development of mathematics, science and technology will be created; Creative mind-set will be fostered."
Islands,C.C.C. Tai O Primary School,98,http://www.ccctaiops.edu.hk,Aided,Whole Day,Co-ed,Protestantism / Christianity,1300,Chinese,-,-,-,-,-,6,1,1,1,"4 rooms (Steam Room, Multi-function Room, TOPS Chat Room, Counselling Room).",Accessible lift and Accessible toilet.,16,19,100,94,36,84,32,10,58,1,1,1,1,1,1,6,1,1,1,1,1,1,6,0,1,Yes,0,3,Yes,Yes,8:25,AM,3:20,PM,1. Creating an environment that enables students to progressively understand and adopt a healthy lifestyle.<br>2. Designing diverse learning experiences that integrate various learning focuses and values education.
Islands,H.K.F.E.W. Wong Cho Bau School,98,http://www.hkfewwcb.edu.hk,Aided,Whole Day,Co-ed,Not Applicable,12000,Chinese,HKFEW Wong Cho Bau Secondary School,-,-,Yes,-,30,1,3,1,"STEAM Room, Coding Lab, Cyber Lab, English Room, Student Activity Room, Dancing Room, Visual Arts Room, Music Room, Chinese Arts Theatre, Play Therapy Room, Counselling Room, Speech Therapy Room, etc.",Accessible lift and Accessible toilet.,42,46,100,100,39,79,17,28,55,3,3,3,3,4,5,21,2,3,3,3,3,4,18,0,1,Yes,0,3,Yes,Yes,8:20,AM,3:45,PM,1. Cultivate a diligent learning attitude in students<br>2. Promote students' physical and mental well-being
Islands,P.O.C.A. Wan Ho Kan Primary School,98,http://www.pocawhk.edu.hk,Aided,Whole Day,Co-ed,Not Applicable,8804,Chinese(incl.: Putonghua) and English,-,-,-,Yes,Yes,30,1,3,1,"Realia Corner, Fitness Room, Computer Room, Art Room, MakerSpace, Multiple Intelligence Activity Centre, Science Room, Digital Piano Room, Dancing Room, Learning Commons, etc.","Ramp, Accessible lift and Accessible toilet.",54,65,100,100,23,54,23,18,59,5,5,4,5,5,5,29,5,5,5,4,5,5,29,0,3,Yes,0,3,Yes,Yes,8:30,AM,3:35,PM,1. Cultivate proper values and attitudes and establish a positive campus culture.<br>2. Cultivate students' interest in learning and enhance self-directed learning.
Islands,The Salvation Army Lam Butt Chung Memorial School,98,http://www.salbcms.edu.hk,Aided,Whole Day,Co-ed,Protestantism / Christianity,10000,Chinese,-,-,-,Yes,-,30,1,3,1,"5 Piano Rooms, some special rooms including dancing room, canteen, computer Room, Dream Lab, library, language Room, Science room, 2 music rooms, counselling room, Game corner, hand bell room, hand chime room, brass band room, art and craft room and School Campus TV.","Ramp, Accessible lift, Accessible toilet, Tactile guide path, Accessible public information / service counter and Visual fire alarm system.",56,59,100,100,25,50,24,18,58,5,5,5,5,5,5,30,5,5,5,5,5,5,30,0,2,Yes,0,3,Yes,Yes,8:15,AM,3:25,PM,1. Promoting school-based curriculum to enhance the effectiveness of self directed learning. <br>2. Nurturing positive values and developing a healthy community in school.
Islands,S.K.H. Wei Lun Primary School,99,http://www.skhweilun.edu.hk,Aided,Whole Day,Co-ed,Protestantism / Christianity,5015,Chinese,-,-,-,-,Yes,18,1,2,1,"Computer Rooms, Music Rooms, Visual Art Room, General Studies Room, Chinese Room, English Room, Multi-purpose Room, Small-class Teaching Rooms.","Ramp, Accessible lift and Accessible toilet.",36,39,95,100,46,77,20,31,49,3,3,3,3,3,3,18,3,3,3,3,3,3,18,0,1,Yes,2,2,No,No,8:15,AM,2:55,PM,1. To continuously develop school-based curriculum for each subject to improve student’s self-directed learning.<br>2. Value Education: Develop students with moral values and persistence to face challenges. 
Islands,Ling Liang Church Sau Tak Primary School,98,http://www.llcst.edu.hk,Aided,Whole Day,Co-ed,Protestantism / Christianity,6200,Chinese & English,Ling Liang Church E Wun Secondary School,-,-,Yes,-,30,1,2,1,"Visual Arts Room, Dancing Room, Music Room, STEM Room, Innovation and Technology Room, English Activity Room, Social Worker Room, Small Group Study Rooms and Medical Room ","Ramp, Accessible lift, Accessible toilet and Tactile guide path plan.",52,57,95,100,32,16,25,33,42,5,4,4,5,5,5,28,5,5,4,4,5,5,28,0,1,Yes,0,2,Yes,Yes,8:20,AM,3:00,PM,"1. Optimizing the 'Learning-Teaching-Assessment' cycle to enhance the effectiveness of teaching and learning.<br>2. Establishing a healthy campus and fostering a positive atmosphere to promote students' physical, mental, and spiritual development."
Islands,C.C.C. Cheung Chau Church Kam Kong Primary School,97,http://www.ccckamkongsch.edu.hk,Aided,Whole Day,Co-ed,Protestantism / Christianity,2000,Chinese(incl.: Putonghua) and English,-,-,-,-,-,6,0,1,1,"6 Rooms (Music Room, Computer Room, Language Room, School TV Production Room, Conference Room, Counselling Room).","Ramp, Accessible lift, Accessible toilet and Tactile guide path plan.",16,18,94,100,38,63,31,0,69,1,1,1,1,1,1,6,1,1,1,1,1,1,6,0,0,Yes,2,1,Yes,Yes,8:45,AM,,Please see remarks,"1. By integrating nature education and enriching students' diverse learning experiences, we aim to facilitate student career planning and explore their future development paths.<br>2. Through collaborative efforts, we aim to foster values education that enables students to inherit and appreciate the culture of Cheung Chau and Chinese culture, thereby enhancing their sense of national identity."
Islands,Ho Yu College and Primary School (Sponsored by Sik Sik Yuen),98,http://www.hoyu.edu.hk,Aided,Whole Day,Co-ed,Others,11148,Chinese,Ho Yu College and Primary School (Sponsored by Sik Sik Yuen),-,-,Yes,-,30,1,4,2,"Yu Zhi Sinology Room, STEMaker Room, Yu Zhi Sinology Room, Biotechnology Laboratory, Digital Library, Computer Rooms, Multi-media Learning Centre(Immersive Innovative Teaching System), Student Activity Centre, Dance Room, Home Economics Room, Auditorium.","Ramp, Accessible lift and Accessible toilet.",45,48,88,100,35,40,48,21,31,5,3,3,3,5,5,24,3,5,3,3,3,5,22,0,0,Yes,2,2,Yes,Yes,8:30,AM,3:30,PM,Extend the dimensions of self-directed learning to accommodate the diversity of learning.<br>Strengthen value education to cultivate students into good citizens.
